Acrònim,Universitat,Tipus,Valor,Color,Ingressos liquidats totals,Ingressos procedents de les CCAA
UdG,Universitat de Girona,Ingressos procedents de les CCAA,53488314,#445BA6,99.971.374€,53.488.314€
UdG,Universitat de Girona,Ingressos liquidats totals,46483060,#273271,99.971.374€,53.488.314€
UAH,Universidad de Alcalá de Henares,Ingressos procedents de les CCAA,84623959.33,#445BA6,142.204.055€,84.623.959€
UAH,Universidad de Alcalá de Henares,Ingressos liquidats totals,57580095.67,#273271,142.204.055€,84.623.959€
UCO,Universidad de Córdoba,Ingressos procedents de les CCAA,92708931,#445BA6,134.395.784€,92.708.931€
UCO,Universidad de Córdoba,Ingressos liquidats totals,41686853,#273271,134.395.784€,92.708.931€
UdL,Universitat de Lleida,Ingressos procedents de les CCAA,47266503.68,#445BA6,84.061.146€,47.266.503€
UdL,Universitat de Lleida,Ingressos liquidats totals,36794642.32,#273271,84.061.146€,47.266.503€
UIB,Universitat de les Illes Balears,Ingressos procedents de les CCAA,55434710.71,#445BA6,88.508.290€,55.434.710€
UIB,Universitat de les Illes Balears,Ingressos liquidats totals,33073579.29,#273271,88.508.290€,55.434.710€
UJI,Universitat Jaume I,Ingressos procedents de les CCAA,66990951.55,#445BA6,110.879.079€,66.990.951€
UJI,Universitat Jaume I,Ingressos liquidats totals,43888127.45,#273271,110.879.079€,66.990.951€
URV,Universitat Rovira i Virgili,Ingressos procedents de les CCAA,66962812.94,#445BA6,107.524.008€,66.962.812€
URV,Universitat Rovira i Virgili,Ingressos liquidats totals,40561195.06,#273271,107.524.008€,66.962.812€
UVIGO,Universidad de Vigo,Ingressos procedents de les CCAA,107545721.8,#445BA6,151.027.719€,107.545.721€
UVIGO,Universidad de Vigo,Ingressos liquidats totals,43481997.22,#273271,151.027.719€,107.545.721€
