Concepte,Capítol,Pressupostat,Real,Diferència,Color
ÒRGANS DE GOVERN I PERSONAL DIRECTIU,CAPÍTOL 1: DESPESES DE PERSONAL,175460,166274,9186,#FB8B72
PERSONAL FUNCIONARI,CAPÍTOL 1: DESPESES DE PERSONAL,1571094.82,1568570.56,2524.26,#FB8B72
PERSONAL LABORAL,CAPÍTOL 1: DESPESES DE PERSONAL,1275261.6,1270345.55,4916.05,#FB8B72
ALTRE PERSONAL,CAPÍTOL 1: DESPESES DE PERSONAL,6225.1,6220.02,5.08,#FB8B72
"QUOTES, PRESTACIONS I DESPESES SOCIALS A CÀRREC DE L'OCUPADOR",CAPÍTOL 1: DESPESES DE PERSONAL,815793.98,758756.41,57037.57,#FB8B72
ARRENDAMENTS I CÀNONS,CAPÍTOL 2: DESPESES CORRENTS EN BÉNS I SERVEIS,177113.38,167009.81,10103.57,#1A9B9A
"REPARACIONS, MANTENIMENT I CONSERVACIÓ",CAPÍTOL 2: DESPESES CORRENTS EN BÉNS I SERVEIS,938199.4,766231.5,171967.9,#1A9B9A
"MATERIAL, SUBMINISTRAMENT I ALTRES",CAPÍTOL 2: DESPESES CORRENTS EN BÉNS I SERVEIS,2830144.06,2313193.37,516950.69,#1A9B9A
INDEMNITZACIONS PER RAÓ DEL SERVEI,CAPÍTOL 2: DESPESES CORRENTS EN BÉNS I SERVEIS,23500,16735.76,6764.24,#1A9B9A
DE PRÉSTECS I ALTRES OPERACIONS FINANCERES EN EUROS,CAPÍTOL 3: DESPESES FINANCERES,110000,51358.81,58641.19,#46778C
A ENTITATS LOCALS,CAPÍTOL 4: TRANSFERÈNCIES CORRENTS,1222666.6,1156124.15,66542.45,#FFB563
A EMPRESES PRIVADES,CAPÍTOL 4: TRANSFERÈNCIES CORRENTS,47862.5,47862.5,0,#FFB563
A FAMÍLIES I INSTITUCIONS SENSE FINS DE LUCRE,CAPÍTOL 4: TRANSFERÈNCIES CORRENTS,552443.44,446447,105996.44,#FFB563
DOTACIÓ AL FONS DE CONTINGÈNCIA D'EXECUCIÓ PRESSUPOSTÀRIA,CAPÍTOL 5: FONS DE CONTINGÈNCIA I ALTRES IMPREVISTOS,65069.33,0,65069.33,#FFB563
INVERSIÓ NOVA EN INFRAESTRUCTURES I BÉNS DESTINATS A L'ÚS GENERAL,CAPÍTOL 6: INVERSIONS REALS,3143675.27,1961205.41,1182469.86,#595297
INVERSIONS DE REPOSICIÓ D'INFRAESTRUCTURES I BÉNS DESTINATS A L'ÚS GENERAL,CAPÍTOL 6: INVERSIONS REALS,1213176.91,68565.69,1144611.22,#595297
INVERSIÓ NOVA ASSOCIADA AL FUNCIONAMENT OPERATIU DELS SERVEIS,CAPÍTOL 6: INVERSIONS REALS,109449.92,95809.95,13639.97,#595297
INVERSIÓ DE REPOSICIÓ ASSOCIADA AL FUNCIONAMENT OPERATIU DELS SERVEIS,CAPÍTOL 6: INVERSIONS REALS,408080.32,150226.73,257853.59,#595297
CONCESSIÓ DE PRÉSTECS FORA DEL SECTOR PÚBLIC,CAPÍTOL 8: ACTIUS FINANCERS,69862.15,69862.15,0,#89BFEA
AMORTITZACIÓ DE PRÉSTECS I OPERACIONS AMB EUROS,CAPÍTOL 9: PASSIUS FINANCERS,950000,937404.12,12595.88,#cc828b
