Acrònim,Universitat,Valor,Tipus,Color
UCO,Universidad de Córdoba,0.787138888,Taxa de rendiment,#D9A560
UAH,Universidad de Alcalá de Henares,0.811075611,Taxa de rendiment,#D9A560
URV,Universitat Rovira i Virgili,0.826337278,Taxa de rendiment,#D9A560
UJI,Universitat Jaume I,0.784094209,Taxa de rendiment,#D9A560
UdG,Universitat de Girona,0.84184394,Taxa de rendiment,#D9A560
UdL,Universitat de Lleida,0.838156623,Taxa de rendiment,#D9A560
UVIGO,Universidad de Vigo,0.725067615,Taxa de rendiment,#D9A560
UIB,Universitat de les Illes Balears,0.764234071,Taxa de rendiment,#D9A560
UCO,Universidad de Córdoba,0.859924061,Taxa d'èxit,#CC6D4E
UAH,Universidad de Alcalá de Henares,0.883052289,Taxa d'èxit,#CC6D4E
URV,Universitat Rovira i Virgili,0.8934779,Taxa d'èxit,#CC6D4E
UJI,Universitat Jaume I,0.872177301,Taxa d'èxit,#CC6D4E
UdG,Universitat de Girona,0.851487922,Taxa d'èxit,#CC6D4E
UdL,Universitat de Lleida,0.891598747,Taxa d'èxit,#CC6D4E
UVIGO,Universidad de Vigo,0.834503577,Taxa d'èxit,#CC6D4E
UIB,Universitat de les Illes Balears,0.849710145,Taxa d'èxit,#CC6D4E
