Mes,Any,Visitants,Color
Gener,2016,657,#0F354B
Febrer,2016,922,#0F354B
Març,2016,3660,#0F354B
Abril,2016,3803,#0F354B
Maig,2016,3927,#0F354B
Juny,2016,3374,#0F354B
Juliol,2016,2730,#0F354B
Agost,2016,4574,#0F354B
Setembre,2016,2611,#0F354B
Octubre,2016,3251,#0F354B
Novembre,2016,1060,#0F354B
Desembre,2016,903,#0F354B
Gener,2017,422,#E9A031
Febrer,2017,818,#E9A031
Març,2017,2512,#E9A031
Abril,2017,5709,#E9A031
Maig,2017,4635,#E9A031
Juny,2017,3317,#E9A031
Juliol,2017,2778,#E9A031
Agost,2017,4450,#E9A031
Setembre,2017,2862,#E9A031
Octubre,2017,3313,#E9A031
Novembre,2017,1132,#E9A031
Desembre,2017,797,#E9A031
