Partit,Vots,Percentatge,color,Data
Democràcia i llibertat,938,17.64%,#242660,20/12/2015
PSC,1096,20.62%,#CC3B27,20/12/2015
ERC,1076,20.24%,#FBBA45,20/12/2015
PP,548,10.31%,#3593C1,20/12/2015
En Comú Podem,1118,21.03%,#97336F,20/12/2015
Ciutadans,253,4.76%,#E74715,20/12/2015
Altres,112,2.11%,lightgrey,20/12/2015
Nuls,94,1.77%,lightgrey,20/12/2015
Blanc,81,1.52%,lightgrey,20/12/2015
PSC,835,17.75%,#CC3B27,26/06/2016
ERC,995,21.16%,#FBBA45,26/06/2016
PP,549,11.67%,#3593C1,26/06/2016
En Comú Podem,1284,27.30%,#97336F,26/06/2016
Ciutadans,178,3.78%,#E74715,26/06/2016
CDC,690,14.67%,#00478C,26/06/2016
Altres,46,0.98%,lightgrey,26/06/2016
Nuls,64,1.36%,lightgrey,26/06/2016
Blanc,62,1.32%,lightgrey,26/06/2016
